	Gene	Description
ELK4	ELK4	ETS domain-containing protein Elk-4
DSG3	DSG3	Desmoglein-3
HS71L	HSPA1L	Heat shock 70 kDa protein 1-like
MMP12	MMP12	Macrophage metalloelastase
LIMS1	LIMS1	LIM and senescent cell antigen-like-containing domain protein 1
PSB2	PSMB2	Proteasome subunit beta type-2
HNRPM	HNRNPM	Heterogeneous nuclear ribonucleoprotein M
EFNA3	EFNA3	Ephrin-A3
CAD13	CDH13	Cadherin-13
YPEL3	YPEL3	Protein yippee-like 3
PP1A	PPP1CA	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
RS16	RPS16	40S ribosomal protein S16
SKP1	SKP1	S-phase kinase-associated protein 1
ACTHR	MC2R	Adrenocorticotropic hormone receptor
ADCY1	ADCY1	Adenylate cyclase type 1
U17LO	USP17L30	Ubiquitin carboxyl-terminal hydrolase 17-like protein 24
5HT4R	HTR4	5-hydroxytryptamine receptor 4
COX17	COX17	Cytochrome c oxidase copper chaperone
U5S1	EFTUD2	116 kDa U5 small nuclear ribonucleoprotein component
ZN124	ZNF124	Zinc finger protein 124
CCDC6	CCDC6	Coiled-coil domain-containing protein 6
NKPD1	NKPD1	NTPase KAP family P-loop domain-containing protein 1
GNPTA	GNPTAB	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta
ZN569	ZNF569	Zinc finger protein 569
ERIC3	ERICH3	Glutamate-rich protein 3
SWT1	SWT1	Transcriptional protein SWT1
ANR45	ANKRD45	Ankyrin repeat domain-containing protein 45
AL2CL	ALS2CL	ALS2 C-terminal-like protein
FOXR2	FOXR2	Forkhead box protein R2
U17L6	USP17L6P	Ubiquitin carboxyl-terminal hydrolase 17-like protein 6
MSD1	MSANTD1	Myb/SANT-like DNA-binding domain-containing protein 1
CC149	CCDC149	Coiled-coil domain-containing protein 149
TTL10	TTLL10	Inactive polyglycylase TTLL10
CYS1	CYS1	Cystin-1
SDCG8	SDCCAG8	Serologically defined colon cancer antigen 8
PRUN1	PRUNE1	Exopolyphosphatase PRUNE1
LPP60	ASPG	60 kDa lysophospholipase
KLOTB	KLB	Beta-klotho
VRK3	VRK3	Inactive serine/threonine-protein kinase VRK3
MSTN1	MUSTN1	Musculoskeletal embryonic nuclear protein 1
HOMEZ	HOMEZ	Homeobox and leucine zipper protein Homez
BEST3	BEST3	Bestrophin-3
TXND5	TXNDC5	Thioredoxin domain-containing protein 5
O13C8	OR13C8	Olfactory receptor 13C8
O10AG	OR10AG1	Olfactory receptor 10AG1
PPR35	PPP1R35	Protein phosphatase 1 regulatory subunit 35
HUMMR	MGARP	Protein MGARP
HASP	HASPIN	Serine/threonine-protein kinase haspin
FRS2	FRS2	Fibroblast growth factor receptor substrate 2
FX4L4	FOXD4L4	Forkhead box protein D4-like 4
MRTFA	MRTFA	Myocardin-related transcription factor A
ACD	ACD	Adrenocortical dysplasia protein homolog
DDT4L	DDIT4L	DNA damage-inducible transcript 4-like protein
PKHA8	PLEKHA8	Pleckstrin homology domain-containing family A member 8
HIPL1	HHIPL1	HHIP-like protein 1
CEP20	CEP20	Centrosomal protein 20
DERL3	DERL3	Derlin-3
MPP8	MPHOSPH8	M-phase phosphoprotein 8
HDAC8	HDAC8	Histone deacetylase 8
KRA24	KRTAP2-4	Keratin-associated protein 2-4
ZN407	ZNF407	Zinc finger protein 407
GO45	BLZF1	Golgin-45
FANCE	FANCE	Fanconi anemia group E protein
SRA1	SRA1	Steroid receptor RNA activator 1
ADAP2	ADAP2	Arf-GAP with dual PH domain-containing protein 2
SSF1	PPAN	Suppressor of SWI4 1 homolog
EP15R	EPS15L1	Epidermal growth factor receptor substrate 15-like 1
B4GT7	B4GALT7	Beta-1,4-galactosyltransferase 7
GGA1	GGA1	ADP-ribosylation factor-binding protein GGA1
CAPS1	CADPS	Calcium-dependent secretion activator 1
YLAT1	SLC7A7	Y+L amino acid transporter 1
MYO6	MYO6	Unconventional myosin-VI
MTMR6	MTMR6	Myotubularin-related protein 6
S22AD	SLC22A13	Solute carrier family 22 member 13
SIGL7	SIGLEC7	Sialic acid-binding Ig-like lectin 7
HECD4	HECTD4	Probable E3 ubiquitin-protein ligase HECTD4
SAM50	SAMM50	Sorting and assembly machinery component 50 homolog
A0A075B6Z1	TRAJ20	T cell receptor alpha joining 20 (Fragment)
TVA16	TRAV16	T cell receptor alpha variable 16
HV118	IGHV1-18	Immunoglobulin heavy variable 1-18
A0A2R8Y422	RPS27AP5	40S ribosomal protein S27a
TVB41	TRBV4-1	T cell receptor beta variable 4-1
MT1DP	MT1DP	Putative metallothionein MT1DP
FRG2C	FRG2C	Protein FRG2-like-2
CC154	CCDC154	Coiled-coil domain-containing protein 154
HMGN4	HMGN4	High mobility group nucleosome-binding domain-containing protein 4
PPM1G	PPM1G	Protein phosphatase 1G
MOT4	SLC16A3	Monocarboxylate transporter 4
B2L11	BCL2L11	Bcl-2-like protein 11
ADCY3	ADCY3	Adenylate cyclase type 3
NPHN	NPHS1	Nephrin
NSMA	SMPD2	Sphingomyelin phosphodiesterase 2
ROCK2	ROCK2	Rho-associated protein kinase 2
TACC1	TACC1	Transforming acidic coiled-coil-containing protein 1
CTAG2	CTAG2	Cancer/testis antigen 2
CNMD	CNMD	Leukocyte cell-derived chemotaxin 1
NOL4	NOL4	Nucleolar protein 4
SPN1	SNUPN	Snurportin-1
5HT3B	HTR3B	5-hydroxytryptamine receptor 3B
SYFM	FARS2	Phenylalanine--tRNA ligase, mitochondrial
TGFB1	TGFB1	Transforming growth factor beta-1 proprotein
VIP	VIP	VIP peptides
NU4M	MT-ND4	NADH-ubiquinone oxidoreductase chain 4
OST4	OST4	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4
IQCF3	IQCF3	IQ domain-containing protein F3
EGR2	EGR2	E3 SUMO-protein ligase EGR2
HMGA1	HMGA1	High mobility group protein HMG-I/HMG-Y
ML12A	MYL12A	Myosin regulatory light chain 12A
A1AG2	ORM2	Alpha-1-acid glycoprotein 2
FGFR3	FGFR3	Fibroblast growth factor receptor 3
PPLA	PLN	Cardiac phospholamban
AGTR1	AGTR1	Type-1 angiotensin II receptor
VHL	VHL	von Hippel-Lindau disease tumor suppressor
RBM34	RBM34	RNA-binding protein 34
RS9	RPS9	40S ribosomal protein S9
MRP	MARCKSL1	MARCKS-related protein
SPHM	SGSH	N-sulphoglucosamine sulphohydrolase
AK1D1	AKR1D1	Aldo-keto reductase family 1 member D1
AT1B3	ATP1B3	Sodium/potassium-transporting ATPase subunit beta-3
IDD	DGCR2	Integral membrane protein DGCR2/IDD
IL9R	IL9R	Interleukin-9 receptor
ROR2	ROR2	Tyrosine-protein kinase transmembrane receptor ROR2
PM2PB	PMS2P11	Putative postmeiotic segregation increased 2-like protein 11
AUHM	AUH	Methylglutaconyl-CoA hydratase, mitochondrial
CP072	C16orf72	UPF0472 protein C16orf72
PO4F3	POU4F3	POU domain, class 4, transcription factor 3
JHD2C	JMJD1C	Probable JmjC domain-containing histone demethylation protein 2C
ZN394	ZNF394	Zinc finger protein 394
ACTBL	ACTBL2	Beta-actin-like protein 2
DYLT4	DYNLT4	Dynein light chain Tctex-type 4
NEXMI	NEXMIF	Neurite extension and migration factor
TM225	TMEM225	Transmembrane protein 225
RTL6	RTL6	Retrotransposon Gag-like protein 6
TM108	TMEM108	Transmembrane protein 108
I23O2	IDO2	Indoleamine 2,3-dioxygenase 2
F10C1	FRA10AC1	Protein FRA10AC1
ZFAN4	ZFAND4	AN1-type zinc finger protein 4
CUL9	CUL9	Cullin-9
S6OS1	SIX6OS1	Protein SIX6
ZSCA1	ZSCAN1	Zinc finger and SCAN domain-containing protein 1
OR4CF	OR4C15	Olfactory receptor 4C15
ING5	ING5	Inhibitor of growth protein 5
SL9A6	SLC9A6	Sodium/hydrogen exchanger 6
PRP16	DHX38	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16
PEX13	PEX13	Peroxisomal membrane protein PEX13
ROP1L	ROPN1L	Ropporin-1-like protein
OTUB2	OTUB2	Ubiquitin thioesterase OTUB2
LRC39	LRRC39	Leucine-rich repeat-containing protein 39
RAB3C	RAB3C	Ras-related protein Rab-3C
URAS1	URB1-AS1	Putative uncharacterized protein URB1-AS1
ZBED3	ZBED3	Zinc finger BED domain-containing protein 3
FEM1C	FEM1C	Protein fem-1 homolog C
DJC30	DNAJC30	DnaJ homolog subfamily C member 30, mitochondrial
GPR78	GPR78	G-protein coupled receptor 78
ZN363	RCHY1	RING finger and CHY zinc finger domain-containing protein 1
OR8B4	OR8B4	Olfactory receptor 8B4
YMEL1	YME1L1	ATP-dependent zinc metalloprotease YME1L1
FEZ1	FEZ1	Fasciculation and elongation protein zeta-1
PXL2A	PRXL2A	Peroxiredoxin-like 2A
TM208	TMEM208	Transmembrane protein 208
DPCD	DPCD	Protein DPCD
HRC23	HERC2P3	Putative HERC2-like protein 3
SRBS1	SORBS1	Sorbin and SH3 domain-containing protein 1
3BHS7	HSD3B7	3 beta-hydroxysteroid dehydrogenase type 7
TNKS2	TNKS2	Poly [ADP-ribose] polymerase tankyrase-2
E41L1	EPB41L1	Band 4.1-like protein 1
JADE2	JADE2	E3 ubiquitin-protein ligase Jade-2
KMT5A	KMT5A	N-lysine methyltransferase KMT5A
COKA1	COL20A1	Collagen alpha-1(XX) chain
MYOTI	MYOT	Myotilin
WNT16	WNT16	Protein Wnt-16
DNAI1	DNAI1	Dynein axonemal intermediate chain 1
XPO7	XPO7	Exportin-7
RPH3L	RPH3AL	Rab effector Noc2
RIMS2	RIMS2	Regulating synaptic membrane exocytosis protein 2
UFC1	UFC1	Ubiquitin-fold modifier-conjugating enzyme 1
CD2AP	CD2AP	CD2-associated protein
A0A1W2PPK0		Homeobox domain-containing protein
A0A1W2PQ64	SSU72P5	RNA polymerase II subunit A C-terminal domain phosphatase SSU72
RAKDN	RBAKDN	Putative RBAK downstream neighbor protein
ZN860	ZNF860	Zinc finger protein 860
O6C70	OR6C70	Olfactory receptor 6C70
ZBBX	ZBBX	Zinc finger B-box domain-containing protein 1
PDXK	PDXK	Pyridoxal kinase
LCE2B	LCE2B	Late cornified envelope protein 2B
EXOC3	EXOC3	Exocyst complex component 3
KLH41	KLHL41	Kelch-like protein 41
ABCC9	ABCC9	ATP-binding cassette sub-family C member 9
SG2A1	SCGB2A1	Mammaglobin-B
STK10	STK10	Serine/threonine-protein kinase 10
GRP1	RASGRP1	RAS guanyl-releasing protein 1
ZBED1	ZBED1	E3 SUMO-protein ligase ZBED1
LA	SSB	Lupus La protein
DOPO	DBH	Dopamine beta-hydroxylase
DHPR	QDPR	Dihydropteridine reductase
ZN888	ZNF888	Zinc finger protein 888
CMGA	CHGA	Chromogranin-A
IRF1	IRF1	Interferon regulatory factor 1
COF1	CFL1	Cofilin-1
GSH0	GCLM	Glutamate--cysteine ligase regulatory subunit
TMEDA	TMED10	Transmembrane emp24 domain-containing protein 10
LHX2	LHX2	LIM/homeobox protein Lhx2
P2RX1	P2RX1	P2X purinoceptor 1
REC16	ERVK-16	Endogenous retrovirus group K member 16 Rec protein
RPB7	POLR2G	DNA-directed RNA polymerase II subunit RPB7
3BP2	SH3BP2	SH3 domain-binding protein 2
HTRA3	HTRA3	Serine protease HTRA3
2ABB	PPP2R2B	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform
CDKL1	CDKL1	Cyclin-dependent kinase-like 1
AMPD3	AMPD3	AMP deaminase 3
ZNFS1	ZNF252P-AS1	Putative uncharacterized protein ZNF252P-AS1
ABR	ABR	Active breakpoint cluster region-related protein
RM28	MRPL28	39S ribosomal protein L28, mitochondrial
STK3	STK3	Serine/threonine-protein kinase 3
DHX34	DHX34	Probable ATP-dependent RNA helicase DHX34
SF01	SF1	Splicing factor 1
ZN805	ZNF805	Zinc finger protein 805
PRA20	PRAMEF20	PRAME family member 20
ACKMT	ATPSCKMT	ATP synthase subunit C lysine N-methyltransferase
GLT18	GALNT18	Polypeptide N-acetylgalactosaminyltransferase 18
DR4L2	DHRS4L2	Dehydrogenase/reductase SDR family member 4-like 2
NXPE4	NXPE4	NXPE family member 4
K154L	KIAA1549L	UPF0606 protein KIAA1549L
TS1R3	TAS1R3	Taste receptor type 1 member 3
NPHP3	NPHP3	Nephrocystin-3
PLGT3	POGLUT3	Protein O-glucosyltransferase 3
VP13B	VPS13B	Vacuolar protein sorting-associated protein 13B
DTX1	DTX1	E3 ubiquitin-protein ligase DTX1
LATH	BPIFA4P	Putative BPIFA4P protein
WFDC3	WFDC3	WAP four-disulfide core domain protein 3
DCNL3	DCUN1D3	DCN1-like protein 3
TCAL8	TCEAL8	Transcription elongation factor A protein-like 8
S22AO	SLC22A24	Steroid transmembrane transporter SLC22A24
LZTR1	LZTR1	Leucine-zipper-like transcriptional regulator 1
ZN676	ZNF676	Zinc finger protein 676
GDPD1	GDPD1	Lysophospholipase D GDPD1
ANR53	ANKRD53	Ankyrin repeat domain-containing protein 53
CT203	C20orf203	Uncharacterized protein C20orf203
S38A9	SLC38A9	Sodium-coupled neutral amino acid transporter 9
RB15B	RBM15B	Putative RNA-binding protein 15B
CPEB3	CPEB3	Cytoplasmic polyadenylation element-binding protein 3
O52L1	OR52L1	Olfactory receptor 52L1
O5AR1	OR5AR1	Olfactory receptor 5AR1
MSPD2	MOSPD2	Motile sperm domain-containing protein 2
TOMT	LRTOMT	Transmembrane O-methyltransferase
SYN2	SYN2	Synapsin-2
COR2A	CORO2A	Coronin-2A
BORC5	BORCS5	BLOC-1-related complex subunit 5
5NT3B	NT5C3B	7-methylguanosine phosphate-specific 5'-nucleotidase
PRR11	PRR11	Proline-rich protein 11
CCD34	CCDC34	Coiled-coil domain-containing protein 34
MAP6	MAP6	Microtubule-associated protein 6
MF14A	MFSD14A	Hippocampus abundant transcript 1 protein
OR2V2	OR2V2	Olfactory receptor 2V2
NR1H4	NR1H4	Bile acid receptor
ADPGK	ADPGK	ADP-dependent glucokinase
MTA3	MTA3	Metastasis-associated protein MTA3
BDH2	BDH2	3-hydroxybutyrate dehydrogenase type 2
CINP	CINP	Cyclin-dependent kinase 2-interacting protein
B3GN5	B3GNT5	Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase
NRSN2	NRSN2	Neurensin-2
SRR	SRR	Serine racemase
SIL1	SIL1	Nucleotide exchange factor SIL1
ELOV6	ELOVL6	Elongation of very long chain fatty acids protein 6
F124B	FAM124B	Protein FAM124B
NPVF	NPVF	Pro-FMRFamide-related neuropeptide VF
S40A1	SLC40A1	Solute carrier family 40 member 1
INP5E	INPP5E	Phosphatidylinositol polyphosphate 5-phosphatase type IV
RED2	ADARB2	Double-stranded RNA-specific editase B2
QPCTL	QPCTL	Glutaminyl-peptide cyclotransferase-like protein
CARF	CDKN2AIP	CDKN2A-interacting protein
E2AK4	EIF2AK4	eIF-2-alpha kinase GCN2
RLP24	RSL24D1	Probable ribosome biogenesis protein RLP24
EPCR	PROCR	Endothelial protein C receptor
NUDC	NUDC	Nuclear migration protein nudC
PLD3B	PRELID3B	PRELI domain containing protein 3B
CAN6	CAPN6	Calpain-6
A0A075B7B9	IGHD2OR15-2B	Protein IGHD2OR15-2A (Fragment)
A0A075B7F0	IGHV3OR16-10	Immunoglobulin heavy variable 3/OR16-10 (non-functional) (Fragment)
TEX53	TEX53	Testis-expressed protein 53
CQ113	C17orf113	Transmembrane protein C17orf113
A0A494C1I1	LOC728392	Uncharacterized LOC728392
GXLT2	GXYLT2	Glucoside xylosyltransferase 2
EPAB2	PABPN1L	Embryonic polyadenylate-binding protein 2
TCAF2	TCAF2	TRPM8 channel-associated factor 2
OR5H1	OR5H1	Olfactory receptor 5H1
CO6A6	COL6A6	Collagen alpha-6(VI) chain
E2F3	E2F3	Transcription factor E2F3
TMG1	PRRG1	Transmembrane gamma-carboxyglutamic acid protein 1
RER1	RER1	Protein RER1
ZMY10	ZMYND10	Zinc finger MYND domain-containing protein 10
NFAT5	NFAT5	Nuclear factor of activated T-cells 5
RNF37	UBOX5	RING finger protein 37
F13A	F13A1	Coagulation factor XIII A chain
IFNA7	IFNA7	Interferon alpha-7
DQA2	HLA-DQA2	HLA class II histocompatibility antigen, DQ alpha 2 chain
FRIH	FTH1	Ferritin heavy chain
TFF1	TFF1	Trefoil factor 1
K2C1	KRT1	Keratin, type II cytoskeletal 1
ANXA2	ANXA2	Annexin A2
PLEK	PLEK	Pleckstrin
STS	STS	Steryl-sulfatase
ACHB	CHRNB1	Acetylcholine receptor subunit beta
HXB8	HOXB8	Homeobox protein Hox-B8
HRH2	HRH2	Histamine H2 receptor
APEX1	APEX1	DNA-(apurinic or apyrimidinic site) endonuclease
CEAM8	CEACAM8	Carcinoembryonic antigen-related cell adhesion molecule 8
TCF7	TCF7	Transcription factor 7
PO3F4	POU3F4	POU domain, class 3, transcription factor 4
KLK7	KLK7	Kallikrein-7
PRKX	PRKX	cAMP-dependent protein kinase catalytic subunit PRKX
TKTL1	TKTL1	Transketolase-like protein 1
FUT6	FUT6	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT6
CADH6	CDH6	Cadherin-6
LMO4	LMO4	LIM domain transcription factor LMO4
TRHY	TCHH	Trichohyalin
CAC1S	CACNA1S	Voltage-dependent L-type calcium channel subunit alpha-1S
NF2L1	NFE2L1	Endoplasmic reticulum membrane sensor NFE2L1
CEA16	CEACAM16	Carcinoembryonic antigen-related cell adhesion molecule 16
F209B	FAM209B	Protein FAM209B
NU188	NUP188	Nucleoporin NUP188
A16L1	ATG16L1	Autophagy-related protein 16-1
TENS3	TNS3	Tensin-3
C19L1	CWF19L1	CWF19-like protein 1
SNORC	SNORC	Protein SNORC
KCP	KCP	Kielin/chordin-like protein
MOB2	MOB2	MOB kinase activator 2
ZAR1	ZAR1	Zygote arrest protein 1
KRA13	KRTAP1-3	Keratin-associated protein 1-3
PASD1	PASD1	Circadian clock protein PASD1
S22A9	SLC22A9	Solute carrier family 22 member 9
RCOR2	RCOR2	REST corepressor 2
CL061	LINC01465	Putative uncharacterized protein encoded by LINC01465
CEAS1	CELF2-AS1	Putative uncharacterized protein CELF2-AS1
VA0D2	ATP6V0D2	V-type proton ATPase subunit d 2
MINY2	MINDY2	Ubiquitin carboxyl-terminal hydrolase MINDY-2
NEAS1	NEXN-AS1	Putative uncharacterized protein NEXN-AS1
SLAI1	SLAIN1	SLAIN motif-containing protein 1
ZN740	ZNF740	Zinc finger protein 740
O10J5	OR10J5	Olfactory receptor 10J5
ZFP90	ZFP90	Zinc finger protein 90 homolog
GIPC2	GIPC2	PDZ domain-containing protein GIPC2
PIHD2	PIH1D2	PIH1 domain-containing protein 2
NELFB	NELFB	Negative elongation factor B
SOCS4	SOCS4	Suppressor of cytokine signaling 4
TTC9A	TTC9	Tetratricopeptide repeat protein 9A
TM203	TMEM203	Transmembrane protein 203
TXD15	TXNDC15	Thioredoxin domain-containing protein 15
HIC2	HIC2	Hypermethylated in cancer 2 protein
PRIC1	PRICKLE1	Prickle-like protein 1
TIGD1	TIGD1	Tigger transposable element-derived protein 1
SPB12	SERPINB12	Serpin B12
PURB	PURB	Transcriptional activator protein Pur-beta
K1671	KIAA1671	Uncharacterized protein KIAA1671
TTY13	TTTY13	Putative transcript Y 13 protein
TINAL	TINAGL1	Tubulointerstitial nephritis antigen-like
SC5A7	SLC5A7	High affinity choline transporter 1
RNF32	RNF32	RING finger protein 32
NSRP1	NSRP1	Nuclear speckle splicing regulatory protein 1
CHSTB	CHST11	Carbohydrate sulfotransferase 11
KI13B	KIF13B	Kinesin-like protein KIF13B
PCMD2	PCMTD2	Protein-L-isoaspartate O-methyltransferase domain-containing protein 2
CZIB	CZIB	CXXC motif containing zinc binding protein
ALKB4	ALKBH4	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4
RCC2	RCC2	Protein RCC2
IPO11	IPO11	Importin-11
DP13A	APPL1	DCC-interacting protein 13-alpha
TLK1	TLK1	Serine/threonine-protein kinase tousled-like 1
FBX4	FBXO4	F-box only protein 4
STX8	STX8	Syntaxin-8
MACF1	MACF1	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5
PRLD1	PRELID1	PRELI domain-containing protein 1, mitochondrial
B3GN3	B3GNT3	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3
NISCH	NISCH	Nischarin
PPIL1	PPIL1	Peptidyl-prolyl cis-trans isomerase-like 1
NDK7	NME7	Nucleoside diphosphate kinase 7
LRRF2	LRRFIP2	Leucine-rich repeat flightless-interacting protein 2
A0A075B6Z2	TRAJ56	T cell receptor alpha joining 56 (Fragment)
HV374	IGHV3-74	Immunoglobulin heavy variable 3-74
A0A0G2JQF1		Uncharacterized protein
SCGR7	SCYGR7	Small cysteine and glycine repeat-containing protein 7
CRAS1	CRYM-AS1	Putative uncharacterized protein CRYM-AS1
NOTO	NOTO	Homeobox protein notochord
PROB1	PROB1	Proline-rich basic protein 1
GOG8N	GOLGA8N	Golgin subfamily A member 8N
PPP6	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit
RASM	MRAS	Ras-related protein M-Ras
AIM2	AIM2	Interferon-inducible protein AIM2
OPA1	OPA1	Dynamin-like 120 kDa protein, mitochondrial
T22D2	TSC22D2	TSC22 domain family protein 2
SNPC5	SNAPC5	snRNA-activating protein complex subunit 5
ABL1	ABL1	Tyrosine-protein kinase ABL1
TGFA	TGFA	Protransforming growth factor alpha
HV205	IGHV2-5	Immunoglobulin heavy variable 2-5
ANXA1	ANXA1	Annexin A1
KV311	IGKV3-11	Immunoglobulin kappa variable 3-11
GSTA1	GSTA1	Glutathione S-transferase A1
UBFL6	UBTFL6	Putative upstream-binding factor 1-like protein 6
SCGR9	SCYGR9	Small cysteine and glycine repeat-containing protein 9
K2C5	KRT5	Keratin, type II cytoskeletal 5
FABP4	FABP4	Fatty acid-binding protein, adipocyte
PTPRG	PTPRG	Receptor-type tyrosine-protein phosphatase gamma
SPRE	SPR	Sepiapterin reductase
TNR3	LTBR	Tumor necrosis factor receptor superfamily member 3
PSMD8	PSMD8	26S proteasome non-ATPase regulatory subunit 8
FHIT	FHIT	Bis(5'-adenosyl)-triphosphatase
ASIC1	ASIC1	Acid-sensing ion channel 1
IRX3	IRX3	Iroquois-class homeodomain protein IRX-3
ATL3	ADAMTSL3	ADAMTS-like protein 3
HTRA4	HTRA4	Serine protease HTRA4
ZXDA	ZXDA	Zinc finger X-linked protein ZXDA
RBM3	RBM3	RNA-binding protein 3
KLC1	KLC1	Kinesin light chain 1
PDE4C	PDE4C	cAMP-specific 3',5'-cyclic phosphodiesterase 4C
TRI26	TRIM26	Tripartite motif-containing protein 26
REST	REST	RE1-silencing transcription factor
FHL2	FHL2	Four and a half LIM domains protein 2
ZMYM3	ZMYM3	Zinc finger MYM-type protein 3
ZMY11	ZMYND11	Zinc finger MYND domain-containing protein 11
ZN141	ZNF141	Zinc finger protein 141
DB116	DEFB116	Beta-defensin 116
NSN5B	NSUN5P1	Putative NOL1/NOP2/Sun domain family member 5B
COX19	COX19	Cytochrome c oxidase assembly protein COX19
TCAL5	TCEAL5	Transcription elongation factor A protein-like 5
SDE2	SDE2	Replication stress response regulator SDE2
M18BP	MIS18BP1	Mis18-binding protein 1
DUS1L	DUS1L	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like
YO001	UNQ9370/PRO34162	Putative uncharacterized protein UNQ9370/PRO34162
C3P1	C3P1	Putative protein C3P1
CB091	LINC02898	Putative uncharacterized protein LINC02898
SV2A	SV2A	Synaptic vesicle glycoprotein 2A
LUZP2	LUZP2	Leucine zipper protein 2
TBC26	TBC1D26	TBC1 domain family member 26
CATAC	CENATAC	Centrosomal AT-AC splicing factor
RASL3	RASAL3	RAS protein activator like-3
DDIAS	DDIAS	DNA damage-induced apoptosis suppressor protein
CC105	CCDC105	Coiled-coil domain-containing protein 105
GALT4	GALNT4	Polypeptide N-acetylgalactosaminyltransferase 4
F110B	FAM110B	Protein FAM110B
TM263	TMEM263	Transmembrane protein 263
KBTB7	KBTBD7	Kelch repeat and BTB domain-containing protein 7
KRT35	KRT35	Keratin, type I cuticular Ha5
KPBB	PHKB	Phosphorylase b kinase regulatory subunit beta
VWCE	VWCE	von Willebrand factor C and EGF domain-containing protein
DYDC2	DYDC2	DPY30 domain-containing protein 2
RBM41	RBM41	RNA-binding protein 41
DCAF5	DCAF5	DDB1- and CUL4-associated factor 5
CXD4	GJD4	Gap junction delta-4 protein
BMF	BMF	Bcl-2-modifying factor
ADCYA	ADCY10	Adenylate cyclase type 10
DUX5	DUX5	Double homeobox protein 5
TRNT1	TRNT1	CCA tRNA nucleotidyltransferase 1, mitochondrial
ZN587	ZNF587	Zinc finger protein 587
EYA3	EYA3	Eyes absent homolog 3
RGPD5	RGPD6	RANBP2-like and GRIP domain-containing protein 5/6
CTIP	RBBP8	DNA endonuclease RBBP8
SCAS1	SCP2D1-AS1	Putative uncharacterized protein SCP2D1-AS1
PLCD4	PLCD4	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4
TM204	TMEM204	Transmembrane protein 204
RBM42	RBM42	RNA-binding protein 42
F174C	FAM174C	Protein FAM174C
MAGB5	MAGEB5	Melanoma-associated antigen B5
NACA2	NACA2	Nascent polypeptide-associated complex subunit alpha-2
RM18	MRPL18	39S ribosomal protein L18, mitochondrial
A4GAT	A4GALT	Lactosylceramide 4-alpha-galactosyltransferase
TIGAR	TIGAR	Fructose-2,6-bisphosphatase TIGAR
DUS22	DUSP22	Dual specificity protein phosphatase 22
GPR83	GPR83	Probable G-protein coupled receptor 83
COMD9	COMMD9	COMM domain-containing protein 9
GCP4	TUBGCP4	Gamma-tubulin complex component 4
SRP68	SRP68	Signal recognition particle subunit SRP68
ABT1	ABT1	Activator of basal transcription 1
MAFF	MAFF	Transcription factor MafF
NSF1C	NSFL1C	NSFL1 cofactor p47
VP9D1	VPS9D1	VPS9 domain-containing protein 1
HEY1	HEY1	Hairy/enhancer-of-split related with YRPW motif protein 1
ORC6	ORC6	Origin recognition complex subunit 6
LV537	IGLV5-37	Immunoglobulin lambda variable 5-37
A0A075B6V7	TRAJ26	T cell receptor alpha joining 26 (Fragment)
TVB13	TRBV13	T cell receptor beta variable 13
HV124	IGHV1-24	Immunoglobulin heavy variable 1-24
A0A0G2JKD1	MUC21	Mucin-21
PXDNL	PXDNL	Peroxidasin-like protein
CTGEF	CTAGE15	cTAGE family member 15
TR43B	TRIM43B	Tripartite motif-containing protein 43B
F243A	FAM243A	Protein FAM243A
IFNL4	IFNL4	Interferon lambda-4
SUPYN	ERVH48-1	Suppressyn
AGRP	AGRP	Agouti-related protein
AQP9	AQP9	Aquaporin-9
ZN623	ZNF623	Zinc finger protein 623
TNF13	TNFSF13	Tumor necrosis factor ligand superfamily member 13
TFIP8	TNFAIP8	Tumor necrosis factor alpha-induced protein 8
RPP29	POP4	Ribonuclease P protein subunit p29
HV311	IGHV3-11	Immunoglobulin heavy variable 3-11
CEL2B	CELA2B	Chymotrypsin-like elastase family member 2B
CT62	CT62	Cancer/testis antigen 62
DU4L5	DUX4L5	Double homeobox protein 4-like protein 5
SIL2B	SMIM10L2B	Small integral membrane protein 10-like protein 2B
THB	THRB	Thyroid hormone receptor beta
BMP3	BMP3	Bone morphogenetic protein 3
RS4Y1	RPS4Y1	40S ribosomal protein S4, Y isoform 1
PAX7	PAX7	Paired box protein Pax-7
GBRA5	GABRA5	Gamma-aminobutyric acid receptor subunit alpha-5
UD13	UGT1A3	UDP-glucuronosyltransferase 1A3
GMPR1	GMPR	GMP reductase 1
CATK	CTSK	Cathepsin K
GBRA4	GABRA4	Gamma-aminobutyric acid receptor subunit alpha-4
KC1A	CSNK1A1	Casein kinase I isoform alpha
